_id,actorLink,actorName,actors,characterImageFull,characterImageThumb,characterLink,characterName,guardedBy,houseName,killed,killedBy,kingsguard,marriedEngaged,nickname,parentOf,parents,royal,servedBy,serves,siblings
61997c2bdee7e981f7970f30,/name/nm0389698/,B.J. Hogg,,,,/character/ch0305333/,Addam Marbrand,,,,,,,,,,,,,
61997c2bdee7e981f7970f31,,,,,,,Aegon Targaryen,,Targaryen,,"[""Gregor Clegane""]",,,,,"[""Elia Martell"",""Rhaegar Targaryen""]",true,,,"[""Rhaenys Targaryen"",""Jon Snow""]"
61997c2bdee7e981f7970f32,/name/nm0269923/,Michael Feast,,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1._SX100_SY140_.jpg,/character/ch0540081/,Aeron Greyjoy,,Greyjoy,,,,,Damphair,,,,,,"[""Balon Greyjoy"",""Euron Greyjoy""]"
61997c2bdee7e981f7970f33,/name/nm0727778/,David Rintoul,,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0541362/,Aerys II Targaryen,,Targaryen,"[""Brandon Stark"",""Rickard Stark""]","[""Jaime Lannister""]",,"[""Rhaella Targaryen""]",The Mad King,"[""Daenerys Targaryen"",""Rhaegar Targaryen"",""Viserys Targaryen""]",,true,"[""Arthur Dayne"",""Jaime Lannister""]",,"[""Rhaella Targaryen""]"
61997c2bdee7e981f7970f34,/name/nm6729880/,Chuku Modu,,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0544520/,Akho,,,,"[""Daario Naharis""]",,,,,,,,,
61997c2bdee7e981f7970f35,/name/nm0853583/,Owen Teale,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1._SX100_SY140_.jpg,/character/ch0246938/,Alliser Thorne,,,"[""Jon Snow""]","[""Jon Snow""]",,,,,,,,,
61997c2bdee7e981f7970f36,/name/nm0203801/,Karl Davies,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1._SX100_SY140_.jpg,/character/ch0305012/,Alton Lannister,,Lannister,,"[""Jaime Lannister""]",,,,,,,,,
61997c2bdee7e981f7970f37,/name/nm8257864/,Megan Parkinson,,,,/character/ch0576836/,Alys Karstark,,,,,,,,,"[""Harald Karstark""]",,,,
61997c2bdee7e981f7970f38,/name/nm0571654/,Fintan McKeown,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,/character/ch0305002/,Amory Lorch,,,"[""Yoren""]","[""Jaqen H'ghar""]",,,,,,,,,
61997c2bdee7e981f7970f39,/name/nm1528121/,Philip McGinley,,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0316930/,Anguy,,,,,,,,,,,,,
61997c2bdee7e981f7970f3a,/name/nm0000980/,Jim Broadbent,,,,/character/ch0578265/,Archmaester Marwyn,,,,,,,,,,,,,
61997c2bdee7e981f7970f3b,/name/nm0649046/,Deobia Oparei,,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0507107/,Areo Hotah,,,,"[""Tyene Sand""]",,,,,,,,"[""Doran Martell""]",
